ticker,as_of_date,net_buy,total_buy_votes,total_sell_votes,entry_price,exit_price,status,days_to_exit,entry_touched
MITK,2026-04-07,False,1,3,13.54,13.67,missed,,False
MITK,2026-04-17,True,6,0,14.81,16.66,missed,,True
MITK,2026-04-27,False,1,3,14.08,14.13,hit,4.0,True
MITK,2026-05-07,True,3,0,14.24,16.0,missed,,True
MITK,2026-05-17,True,2,1,14.03,14.55,missed,,False
MITK,2026-05-27,True,5,0,16.0,18.91,missed,,False
MITK,2026-06-06,False,2,3,14.65,15.36,missed,,False
MITK,2026-06-16,True,5,0,16.69,17.18,missed,,False
MITK,2026-06-26,True,5,0,17.68,21.22,missed,,False
PBH,2026-03-28,False,0,4,59.22,60.68,missed,,True
PBH,2026-04-07,False,1,4,53.8,55.81,missed,,False
PBH,2026-04-17,False,1,3,57.22,58.63,hit,5.0,True
PBH,2026-04-27,True,4,2,57.74,58.33,missed,,True
PBH,2026-05-07,False,0,5,54.59,56.3,missed,,True
PBH,2026-05-17,False,2,5,46.22,47.33,missed,,False
PBH,2026-05-27,True,3,2,47.8,53.1,missed,,True
PBH,2026-06-06,False,1,3,46.86,47.41,missed,,True
PBH,2026-06-16,False,2,3,47.16,47.79,missed,,True
PBH,2026-06-26,True,6,1,48.73,50.0,missed,,True
QTPI,2026-03-28,False,0,6,24.96,25.0,missed,,False
QTPI,2026-04-07,False,2,3,24.9,27.67,missed,,False
QTPI,2026-04-17,True,5,1,25.2,27.96,missed,,False
QTPI,2026-04-27,True,4,0,25.43,26.0,missed,,True
QTPI,2026-05-07,False,2,3,25.2,27.92,missed,,False
QTPI,2026-05-17,False,1,3,25.2,27.81,missed,,False
QTPI,2026-05-27,True,4,1,25.1,28.01,missed,,False
QTPI,2026-06-06,False,1,4,25.1,27.82,missed,,False
QTPI,2026-06-16,True,4,2,25.2,27.95,missed,,False
QTPI,2026-06-26,True,4,1,25.2,27.94,missed,,False
QTWO,2026-03-28,False,0,6,45.42,47.77,hit,4.0,True
QTWO,2026-04-07,True,4,1,48.13,54.35,missed,,True
QTWO,2026-04-17,True,4,0,49.58,56.99,missed,,True
QTWO,2026-04-27,False,1,3,44.5,48.7,missed,,False
QTWO,2026-05-07,True,2,1,50.14,50.96,missed,,True
QTWO,2026-05-17,False,0,4,45.16,49.76,missed,,True
QTWO,2026-05-27,False,0,4,44.91,45.53,hit,2.0,True
QTWO,2026-06-06,False,1,2,45.71,46.25,missed,,True
QTWO,2026-06-16,False,1,3,44.5,46.25,missed,,True
QTWO,2026-06-26,True,4,1,44.93,52.7,missed,,False
RILYL,2026-03-28,True,4,1,11.96,12.31,missed,,False
RILYL,2026-04-07,True,5,0,12.24,12.53,missed,,False
RILYL,2026-04-17,True,4,1,12.0,12.17,hit,2.0,True
RILYL,2026-04-27,False,2,3,11.69,12.06,missed,,False
RILYL,2026-05-07,True,4,1,15.16,15.48,hit,5.0,True
RILYL,2026-05-17,True,5,0,15.57,15.74,missed,,False
RILYL,2026-05-27,True,4,1,16.99,17.15,hit,4.0,True
RILYL,2026-06-06,True,3,1,16.58,16.83,missed,,True
RILYL,2026-06-16,True,4,1,16.76,17.04,missed,,True
RILYL,2026-06-26,False,0,5,14.22,15.88,missed,,True
SES,2026-03-28,False,0,5,0.99,1.04,missed,,True
SES,2026-04-07,False,0,5,0.95,0.97,missed,,False
SES,2026-04-17,True,5,1,1.02,1.33,missed,,False
SES,2026-04-27,False,1,3,0.9,1.18,missed,,False
SES,2026-05-07,False,0,4,0.92,0.97,missed,,False
SES,2026-05-17,True,3,1,1.04,1.24,hit,5.0,True
SES,2026-05-27,True,4,0,1.13,1.4,missed,,False
SES,2026-06-06,True,3,1,0.95,1.3,missed,,False
SES,2026-06-16,False,1,3,1.04,1.08,hit,2.0,True
SES,2026-06-26,False,1,4,0.9,0.92,hit,1.0,True
SLN,2026-03-28,False,0,4,4.93,5.22,hit,1.0,True
SLN,2026-04-07,True,3,2,5.57,5.76,missed,,False
SLN,2026-04-17,True,5,0,7.2,8.28,missed,,False
SLN,2026-04-27,True,5,0,7.79,7.92,missed,,True
SLN,2026-05-07,False,2,2,6.95,6.96,hit,1.0,True
SLN,2026-05-17,False,2,3,6.1,6.65,missed,,True
SLN,2026-05-27,True,3,1,6.61,8.2,missed,,True
SLN,2026-06-06,False,0,5,6.17,6.34,hit,3.0,True
SLN,2026-06-16,True,2,1,6.64,6.72,missed,,False
SLN,2026-06-26,True,8,0,10.0,11.15,missed,,False
TCPC,2026-03-28,False,0,5,3.28,3.35,hit,1.0,True
TCPC,2026-04-07,True,3,2,3.45,3.7,missed,,False
TCPC,2026-04-17,True,5,0,4.11,4.54,missed,,True
TCPC,2026-04-27,True,3,1,3.93,4.01,missed,,False
TCPC,2026-05-07,True,4,0,4.13,4.19,missed,,True
TCPC,2026-05-17,True,2,1,3.95,3.96,missed,,True
TCPC,2026-05-27,False,2,3,3.57,3.96,missed,,True
TCPC,2026-06-06,False,1,3,3.51,3.56,hit,4.0,True
TCPC,2026-06-16,False,1,4,3.48,3.52,missed,,True
TCPC,2026-06-26,False,1,4,3.2,3.29,missed,,False
TJAN,2026-03-28,False,0,7,26.31,27.0,missed,,False
TJAN,2026-04-07,False,2,2,26.8,29.95,missed,,False
TJAN,2026-04-17,True,5,0,26.8,30.54,missed,,False
TJAN,2026-04-27,True,6,0,27.6,30.55,missed,,False
TJAN,2026-05-07,True,6,0,27.6,30.71,missed,,False
