ticker,as_of_date,entry_price,stop_price,target_price,status,days_to_exit
RBBN,2026-03-02,2.43,1.8,2.673,missed,
RBBN,2026-05-25,2.79,2.43,3.069,hit,1.0
RDZN,2026-04-20,1.26,1.0,1.386,hit,3.0
RGP,2026-05-25,4.53,4.225,4.983,stopped,1.0
RGP,2026-06-01,4.69,4.13,5.159,missed,
RMNY,2026-06-08,24.6347,24.26,27.0982,missed,
RMNY,2026-06-15,24.635,24.26,27.0985,missed,
RMOP,2026-02-16,25.23,25.0,27.753,missed,
RMOP,2026-04-13,25.2,24.6504,27.72,missed,
RMOP,2026-06-01,25.3,24.81,27.83,missed,
RNR,2026-03-02,307.03,294.41,337.733,missed,
ROST,2026-01-05,186.68,178.88,205.348,missed,
ROST,2026-02-09,194.5,187.99,213.95,missed,
ROST,2026-03-16,207.96,187.99,228.756,missed,
ROST,2026-05-25,234.81,219.08,258.291,missed,
RSBY,2026-02-09,16.0,15.42,17.6,missed,
RSDE,2026-05-25,22.965,22.61,25.2615,missed,
SBS,2026-03-30,5.886,5.418,6.4746,missed,
SBS,2026-04-20,7.068,6.674,7.7748,missed,
SE,2025-12-29,130.89,118.86,143.979,missed,
SEGG,2026-04-27,0.9335,0.5,1.0269,hit,1.0
SGMT,2026-04-27,8.12,4.54,8.932,missed,
SHOO,2026-06-08,45.31,42.13,49.841,missed,
SKK,2026-05-04,12.19,1.61,13.409,missed,
SLDP,2026-01-05,5.14,4.14,5.654,missed,
SLXN,2026-03-09,19.6,14.2,21.56,missed,
SMX,2026-04-06,594.1,335.895,653.51,stopped,2.0
SNES,2026-02-16,2.0,1.6807,2.2,hit,1.0
SPB,2026-04-06,76.54,72.14,84.194,missed,
SPBX,2026-02-09,27.89,27.44,30.679,missed,
SPBX,2026-06-15,29.1552,28.66,32.0707,missed,
SPOT,2026-01-05,593.39,570.795,652.729,stopped,2.0
SPOT,2026-04-13,504.1,464.39,554.51,missed,
STOK,2026-01-05,32.55,31.0,35.805,stopped,5.0
STOK,2026-02-23,36.22,30.33,39.842,missed,
SYSB,2026-01-05,90.35,89.4301,99.385,missed,
SYSB,2026-02-23,90.84,89.48,99.924,missed,
SYSB,2026-04-13,89.26,87.9999,98.186,missed,
TAOP,2026-03-16,1.7301,1.33,1.9031,stopped,3.0
TENX,2026-01-12,14.7,10.935,16.17,hit,2.0
TFII,2026-01-05,110.66,103.05,121.726,missed,
TGLS,2026-04-13,45.74,42.22,50.314,missed,
TLK,2026-01-05,21.46,20.52,23.606,missed,
TLK,2026-01-12,21.39,20.52,23.529,missed,
TLK,2026-02-23,21.27,20.61,23.397,missed,
TRI,2026-06-01,93.96,81.885,103.356,missed,
TTC,2026-01-05,81.67,72.46,89.837,missed,
TU,2026-05-04,12.59,12.14,13.849,missed,
UBER,2026-05-11,76.15,72.67,83.765,missed,
UE,2026-02-02,19.58,18.71,21.538,missed,
UE,2026-06-08,22.96,22.05,25.256,missed,
UFI,2026-01-12,3.91,3.07,4.301,missed,
UNFI,2026-01-26,36.24,33.36,39.864,missed,
UPSD,2026-01-26,27.48,26.46,30.228,missed,
UPSD,2026-05-25,28.43,27.945,31.273,missed,
VATE,2026-03-30,5.5,3.75,6.05,hit,2.0
VFSWW,2026-03-23,0.177399,0.1224,0.1951,hit,3.0
VLGEA,2026-02-02,37.16,33.8,40.876,missed,
VLGEA,2026-02-16,39.7,36.82,43.67,missed,
VLGEA,2026-02-23,39.615,36.82,43.5765,missed,
WB,2026-01-12,11.22,9.91,12.342,missed,
WEEL,2026-06-15,20.6078,20.03,22.6686,missed,
WMT,2026-01-12,117.97,110.55,129.767,missed,
WMT,2026-02-02,124.06,115.48,136.466,missed,
XHR,2026-02-09,15.62,14.49,17.182,missed,
XHR,2026-02-16,15.73,14.49,17.303,missed,
XHR,2026-04-20,16.44,15.76,18.084,missed,
XMTR,2025-12-29,64.32,56.6,70.752,missed,
XMTR,2026-01-05,67.81,56.6,74.591,missed,
XMTR,2026-02-09,72.1,55.0,79.31,stopped,3.0
XOEX,2026-04-13,36.5802,34.64,40.2382,missed,
XPOF,2026-02-02,9.0,7.57,9.9,missed,
XTLB,2026-05-11,2.85,2.3,3.135,missed,
ZDAI,2026-01-26,11.1936,6.728,12.313,missed,
ZDAI,2026-06-01,2.92,1.3,3.212,missed,
ZIP,2026-04-13,2.27,1.885,2.497,hit,2.0
